info: Example app listening on port 1600! || timestamp: 03-06-2023 3:43:43 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:43:43 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:43:46 PM 
info: Payload validation check || timestamp: 03-06-2023 3:43:46 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:43:46 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:43:46 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:43:47 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:44:58 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:44:58 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:44:58 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:45:5 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:45:6 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:45:6 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:45:8 PM 
info: Payload validation check || timestamp: 03-06-2023 3:45:8 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:45:8 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:45:8 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:45:9 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:46:4 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:46:5 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:46:5 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:46:6 PM 
info: Payload validation check || timestamp: 03-06-2023 3:46:6 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:46:6 PM 
error: Contact user reached limit || timestamp: 03-06-2023 3:46:7 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:46:12 PM 
info: Payload validation check || timestamp: 03-06-2023 3:46:12 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:46:12 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:46:12 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:46:13 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:48:40 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:48:41 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:48:41 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:48:43 PM 
info: Payload validation check || timestamp: 03-06-2023 3:48:43 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:48:43 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:48:43 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:48:44 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:51:10 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:51:11 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:51:11 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:51:13 PM 
info: Payload validation check || timestamp: 03-06-2023 3:51:13 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:51:13 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:51:13 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:51:14 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:55:47 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:55:48 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:55:48 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:55:52 PM 
info: Payload validation check || timestamp: 03-06-2023 3:55:52 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:55:52 PM 
error: Contact user reached limit || timestamp: 03-06-2023 3:55:52 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:56:6 PM 
info: Payload validation check || timestamp: 03-06-2023 3:56:6 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:56:6 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:56:6 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:56:7 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:58:9 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:58:10 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:58:10 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:58:11 PM 
info: Payload validation check || timestamp: 03-06-2023 3:58:11 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:58:11 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:58:11 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:58:12 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:58:49 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:58:50 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:58:50 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:58:51 PM 
info: Payload validation check || timestamp: 03-06-2023 3:58:51 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:58:51 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:58:51 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:58:52 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:59:12 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:59:13 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:59:13 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:59:18 PM 
info: Payload validation check || timestamp: 03-06-2023 3:59:18 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:59:18 PM 
error: Contact user reached limit || timestamp: 03-06-2023 3:59:18 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:59:23 PM 
info: Payload validation check || timestamp: 03-06-2023 3:59:23 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:59:23 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:59:23 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:59:24 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 4:00:0 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 4:00:1 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 4:00:1 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:00:3 PM 
info: Payload validation check || timestamp: 03-06-2023 4:00:3 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:00:3 PM 
info: data inserted to DB || timestamp: 03-06-2023 4:00:3 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 4:00:4 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 4:02:33 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 4:02:34 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 4:02:34 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:02:36 PM 
info: Payload validation check || timestamp: 03-06-2023 4:02:36 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:02:36 PM 
info: data inserted to DB || timestamp: 03-06-2023 4:02:36 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 4:02:38 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 4:05:8 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 4:05:9 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 4:05:9 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:05:10 PM 
info: Payload validation check || timestamp: 03-06-2023 4:05:10 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:05:10 PM 
error: Contact user reached limit || timestamp: 03-06-2023 4:05:10 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:05:16 PM 
info: Payload validation check || timestamp: 03-06-2023 4:05:16 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:05:16 PM 
info: data inserted to DB || timestamp: 03-06-2023 4:05:16 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 4:05:17 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 4:06:17 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 4:06:18 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 4:06:18 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:06:20 PM 
info: Payload validation check || timestamp: 03-06-2023 4:06:20 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:06:20 PM 
info: data inserted to DB || timestamp: 03-06-2023 4:06:20 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 4:06:21 PM 
