info: GFF data hit Received || timestamp: 22-07-2023 12:41:18 PM 
info: Data Getting Success from GFF || timestamp: 22-07-2023 12:41:18 PM 
info: GFF data hit Received || timestamp: 22-07-2023 12:42:6 PM 
info: Data Getting Success from GFF || timestamp: 22-07-2023 12:42:6 PM 
info: Get filterbyDate for GFF hit Received || timestamp: 22-07-2023 12:42:23 PM 
info: Data filter Success from Paylater || timestamp: 22-07-2023 12:42:23 PM 
info: GFF data hit Received || timestamp: 22-07-2023 12:42:26 PM 
info: Data Getting Success from GFF || timestamp: 22-07-2023 12:42:26 PM 
warn: Server started at with Environment :: dev || timestamp: 22-07-2023 12:46:46 PM 
info: Example app listening on port 1600! || timestamp: 22-07-2023 12:46:47 PM 
warn: DEV-Database connection Successfull || timestamp: 22-07-2023 12:46:47 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 12:47:1 PM 
info: Payload validation check || timestamp: 22-07-2023 12:47:1 PM 
info: Payload validation successfull || timestamp: 22-07-2023 12:47:1 PM 
info: GFF Data inserted to DB || timestamp: 22-07-2023 12:47:1 PM 
info: Email sent successfully to Ping || timestamp: 22-07-2023 12:47:2 PM 
info: Base URL :: localhost:1600 || timestamp: 22-07-2023 12:47:11 PM 
info: login hit received || timestamp: 22-07-2023 12:47:13 PM 
info: Get Contact hit Received || timestamp: 22-07-2023 12:47:13 PM 
info: Data Getting Success from Contact || timestamp: 22-07-2023 12:47:13 PM 
info: GFF data hit Received || timestamp: 22-07-2023 12:47:15 PM 
info: Data Getting Success from GFF || timestamp: 22-07-2023 12:47:15 PM 
info: GFF data hit Received || timestamp: 22-07-2023 12:54:36 PM 
info: Data Getting Success from GFF || timestamp: 22-07-2023 12:54:36 PM 
info: GFF data hit Received || timestamp: 22-07-2023 12:54:47 PM 
info: Data Getting Success from GFF || timestamp: 22-07-2023 12:54:47 PM 
info: Base URL :: localhost:1600 || timestamp: 22-07-2023 12:54:57 PM 
info: login hit received || timestamp: 22-07-2023 12:54:59 PM 
info: Get Contact hit Received || timestamp: 22-07-2023 12:55:0 PM 
info: Data Getting Success from Contact || timestamp: 22-07-2023 12:55:0 PM 
info: GFF data hit Received || timestamp: 22-07-2023 12:55:15 PM 
info: Data Getting Success from GFF || timestamp: 22-07-2023 12:55:15 PM 
info: MFI data hit Received || timestamp: 22-07-2023 12:55:20 PM 
info: Data Getting Success from MFI || timestamp: 22-07-2023 12:55:20 PM 
info: Get Seamless data hit Received || timestamp: 22-07-2023 12:55:21 PM 
info: Data Getting Success from Contact || timestamp: 22-07-2023 12:55:22 PM 
info: MFI data hit Received || timestamp: 22-07-2023 12:55:29 PM 
info: Data Getting Success from MFI || timestamp: 22-07-2023 12:55:29 PM 
info: GFF data hit Received || timestamp: 22-07-2023 12:55:30 PM 
info: Data Getting Success from GFF || timestamp: 22-07-2023 12:55:30 PM 
info: GFF data hit Received || timestamp: 22-07-2023 12:55:46 PM 
info: Data Getting Success from GFF || timestamp: 22-07-2023 12:55:46 PM 
warn: Server started at with Environment :: dev || timestamp: 22-07-2023 12:59:39 PM 
info: Example app listening on port 1600! || timestamp: 22-07-2023 12:59:40 PM 
warn: DEV-Database connection Successfull || timestamp: 22-07-2023 12:59:40 PM 
info: Base URL :: localhost:1600 || timestamp: 22-07-2023 1:32:32 PM 
info: login hit received || timestamp: 22-07-2023 1:32:46 PM 
info: Get Contact hit Received || timestamp: 22-07-2023 1:32:48 PM 
info: Data Getting Success from Contact || timestamp: 22-07-2023 1:32:48 PM 
